# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=31645
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	1.6131378656791984;	0.8644771120504878;
-2212;	0.938;	-1;	4.989116293298643;	0.982781415223961;
-2212;	0.938;	-1;	6.3256605813484015;	0.9891838422838211;
-2212;	0.938;	-1;	16.632428400394243;	0.9984135371367816;
-2212;	0.938;	-1;	5.259559265889966;	0.9844666480927494;
-2212;	0.938;	-1;	6.225730371815422;	0.9888396696893952;
-2212;	0.938;	-1;	2.5065541402730562;	0.9365694607521491;
-2212;	0.938;	-1;	6.954134931802589;	0.9910254587105866;
-2212;	0.938;	-1;	6.440241276543915;	0.9895593344334936;
-2212;	0.938;	-1;	4.002806899976565;	0.9736248410030443;
-2212;	0.938;	-1;	8.365678119668065;	0.9937726706466007;
-2212;	0.938;	-1;	8.765526866753646;	0.9943231269498986;
-2212;	0.938;	-1;	3.528132990864148;	0.9664280347736917;
-2212;	0.938;	-1;	12.20901762265126;	0.9970616953803981;
-2212;	0.938;	-1;	8.743546976394933;	0.9942947936544396;
-2212;	0.938;	-1;	23.408011573590265;	0.999198093019622;
-2212;	0.938;	-1;	8.332900652497663;	0.9937240450274678;
-2212;	0.938;	-1;	5.029065954828432;	0.9830469996584593;
-2212;	0.938;	-1;	5.7921891480285765;	0.987139759755097;
-2212;	0.938;	-1;	9.082987660324108;	0.9947099304010377;
-2212;	0.938;	-1;	21.562127049343555;	0.9990551201097683;
-2212;	0.938;	-1;	3.758400206609855;	0.9702396121337992;
-2212;	0.938;	-1;	0.39629861252469706;	0.38918386671079136;
-2212;	0.938;	-1;	3.632200378902574;	0.968234872941212;
-2212;	0.938;	-1;	16.232802809636926;	0.9983346607100021;
-2212;	0.938;	-1;	13.100740042413635;	0.9974466041258307;
-2212;	0.938;	-1;	8.449258622912959;	0.9938941429207819;
-2212;	0.938;	-1;	3.1212249001989583;	0.9576883096576768;
-2212;	0.938;	-1;	12.347167308889151;	0.9971267980806748;
-2212;	0.938;	-1;	15.308402321537313;	0.9981280461230665;
-2212;	0.938;	-1;	1.1050375265510217;	0.7623755650861685;
-2212;	0.938;	-1;	2.1314242205485514;	0.9152875900681136;
-2212;	0.938;	-1;	10.49546687643999;	0.9960300961408848;
-2212;	0.938;	-1;	16.94191229474932;	0.9984708370299132;
