# hega-rs ver.0.2.9 statistics: 
#UrQmdF19 in Lab: false
FinEnergy;	ECharge;	BCharge;	LCharge;	FinCnt;	FinChargedCnt;	PseudorapidityFilterCnt(-0.5, 0.5);	PseudorapidityFilterCnt(-1.0, 1.0);	PseudorapidityFilterCnt(-1.5, 1.5);	PseudorapidityFilterCnt(3.5, 5.8);	PseudorapidityFilterCnt(-5.8, -3.5);	PseudorapidityFilterCnt(4.4, 5.8);	PseudorapidityFilterCnt(-5.8, -4.4)
6918.798198412428;	172;	407;	0;	1512;	897;	45;	111;	225;	134;	0;	31;	0
6894.10073157455;	172;	407;	0;	1237;	721;	34;	88;	158;	137;	0;	45;	0
6886.344541934654;	172;	406;	0;	1400;	804;	42;	84;	168;	154;	0;	49;	0
6966.023939743257;	171;	408;	0;	1460;	835;	34;	90;	174;	153;	0;	38;	0
6932.766191391937;	172;	407;	0;	1441;	809;	40;	100;	176;	150;	0;	42;	0
6994.010247304195;	172;	406;	0;	1413;	820;	38;	85;	165;	131;	0;	43;	0
6913.745591672764;	172;	408;	0;	1273;	732;	36;	83;	166;	137;	0;	44;	0
6897.155130117545;	172;	407;	0;	1348;	785;	47;	91;	170;	174;	0;	66;	0
6922.634157555985;	172;	408;	0;	1264;	740;	31;	86;	155;	146;	0;	42;	0
6935.15360276191;	170;	407;	0;	1354;	766;	31;	89;	174;	134;	0;	47;	0
6944.329933887427;	172;	406;	0;	1439;	830;	32;	92;	174;	150;	0;	46;	0
6912.226620367618;	172;	408;	0;	1552;	926;	43;	99;	191;	181;	0;	56;	0
6971.251132903192;	172;	407;	0;	1351;	763;	31;	84;	168;	142;	0;	35;	0
6968.944501492922;	172;	408;	0;	1485;	882;	39;	94;	171;	174;	0;	56;	0
6911.923059365023;	172;	407;	0;	1350;	777;	42;	82;	157;	153;	0;	49;	0
7060.157672749036;	172;	408;	0;	1574;	920;	29;	73;	168;	161;	1;	36;	0
6911.962524625736;	172;	408;	0;	1192;	676;	35;	88;	160;	117;	0;	41;	0
6894.276560027388;	172;	405;	0;	1243;	703;	30;	75;	150;	133;	0;	44;	0
6918.789927114482;	169;	405;	0;	1184;	681;	36;	101;	153;	156;	0;	58;	0
6949.38553441537;	172;	408;	0;	1593;	954;	33;	92;	179;	166;	0;	47;	0
6913.556440772932;	172;	408;	0;	1628;	980;	55;	124;	224;	156;	0;	31;	0
6907.3671739604515;	168;	405;	0;	1433;	835;	35;	82;	170;	154;	0;	41;	0
6894.094567715196;	170;	404;	0;	1366;	789;	30;	79;	161;	158;	0;	41;	0
6864.319323367808;	171;	406;	0;	1297;	711;	39;	83;	171;	123;	0;	46;	0
6867.817733566724;	171;	408;	0;	1267;	729;	48;	109;	177;	147;	0;	39;	0
6906.125959285791;	170;	408;	0;	1406;	796;	45;	84;	163;	156;	0;	62;	0
6903.310523808748;	172;	407;	0;	1337;	769;	36;	99;	185;	140;	0;	38;	0
6891.466886628684;	172;	408;	0;	1338;	798;	33;	100;	191;	153;	0;	43;	0
6921.36319592902;	172;	407;	0;	1616;	959;	35;	86;	192;	172;	0;	31;	0
6924.9265626587285;	172;	408;	0;	1547;	900;	42;	100;	199;	168;	0;	46;	0
6891.315838660704;	171;	408;	0;	1316;	753;	43;	99;	182;	157;	0;	45;	0
6909.127857825165;	172;	408;	0;	1355;	796;	35;	94;	166;	165;	0;	50;	0
7031.224561371723;	172;	408;	0;	1386;	838;	32;	107;	195;	174;	0;	40;	0
6900.456733850352;	170;	405;	0;	1202;	696;	45;	91;	167;	133;	0;	39;	0
6955.290779075548;	172;	407;	0;	1413;	819;	41;	96;	178;	148;	0;	40;	0
6974.54451710522;	172;	406;	0;	1478;	888;	46;	96;	175;	155;	0;	42;	0
6908.498481926201;	172;	408;	0;	1495;	836;	38;	81;	159;	136;	0;	39;	0
6946.385323364156;	172;	408;	0;	1261;	744;	45;	106;	180;	138;	0;	38;	0
6943.234098630003;	172;	406;	0;	1289;	740;	35;	72;	148;	142;	0;	44;	0
7065.933659887246;	170;	407;	0;	1332;	748;	31;	78;	158;	151;	0;	42;	0
6867.257157132592;	172;	405;	0;	1287;	731;	35;	81;	153;	133;	0;	48;	0
6856.619889903679;	172;	408;	0;	1552;	938;	33;	94;	202;	191;	0;	46;	0
6952.3168573436305;	170;	403;	0;	1150;	678;	53;	103;	175;	138;	0;	59;	0
6974.656129025976;	172;	407;	0;	1336;	781;	35;	100;	172;	140;	0;	58;	0
6930.535780320525;	170;	407;	0;	1412;	854;	38;	93;	173;	137;	0;	38;	0
6946.806182731766;	172;	406;	0;	1202;	694;	40;	96;	166;	119;	0;	44;	0
6982.155411896614;	172;	408;	0;	1555;	894;	37;	94;	182;	152;	0;	47;	0
6982.05163391684;	172;	408;	0;	1580;	950;	44;	97;	180;	163;	0;	42;	0
6973.353472361212;	172;	408;	0;	1565;	902;	36;	85;	175;	155;	0;	41;	0
6953.104651745025;	170;	407;	0;	1668;	962;	37;	94;	194;	168;	0;	41;	0
6861.5702505526315;	172;	408;	0;	1494;	862;	40;	100;	186;	131;	0;	36;	0
6938.331361612293;	172;	407;	0;	1460;	831;	50;	102;	185;	146;	0;	30;	0
6943.661216536514;	170;	406;	0;	1207;	683;	51;	82;	159;	131;	0;	44;	0
6884.084465170797;	172;	408;	0;	1358;	762;	44;	95;	165;	138;	0;	45;	0
6916.804827028004;	172;	407;	0;	1529;	903;	32;	84;	184;	179;	0;	55;	0
6926.277972556432;	168;	406;	0;	1526;	887;	37;	87;	178;	156;	0;	40;	0
6935.597934209365;	172;	408;	0;	1584;	930;	29;	94;	187;	169;	0;	44;	0
7004.408310304864;	172;	408;	0;	1483;	856;	36;	86;	182;	148;	0;	52;	0
6956.926931495219;	168;	406;	0;	1200;	670;	28;	82;	153;	128;	0;	37;	0
6925.773021636855;	171;	406;	0;	1314;	763;	29;	95;	175;	145;	0;	45;	0
6935.098591636613;	172;	406;	0;	1394;	816;	42;	93;	176;	173;	0;	48;	0
6898.472416351519;	172;	404;	0;	1174;	670;	46;	94;	161;	121;	0;	46;	0
6990.44664016079;	172;	408;	0;	1420;	800;	41;	89;	172;	142;	0;	45;	0
6929.151407774916;	172;	407;	0;	1195;	693;	35;	87;	160;	139;	0;	46;	0
6971.180742949919;	172;	408;	0;	1529;	896;	44;	95;	200;	163;	0;	43;	0
6925.820939610474;	172;	406;	0;	1420;	816;	28;	67;	155;	177;	0;	47;	0
6965.131538131702;	168;	406;	0;	1385;	810;	35;	81;	167;	168;	0;	54;	0
6970.450262291145;	172;	407;	0;	1606;	947;	41;	84;	179;	177;	0;	46;	0
6949.670122704481;	172;	406;	0;	1504;	870;	53;	99;	179;	174;	0;	41;	0
