# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=163565326
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
2.844038256808815;	2.852789143752842;	8427
2.852789143752842;	2.8615400306968692;	8108
2.8615400306968692;	2.8702909176408964;	7937
2.8702909176408964;	2.8790418045849235;	7889
2.8790418045849235;	2.8877926915289507;	7540
2.8877926915289507;	2.896543578472978;	7193
2.896543578472978;	2.905294465417005;	6997
2.905294465417005;	2.914045352361032;	6733
2.914045352361032;	2.9227962393050593;	6776
2.9227962393050593;	2.9315471262490864;	6141
2.9315471262490864;	2.9402980131931136;	5927
2.9402980131931136;	2.9490489001371407;	5663
2.9490489001371407;	2.957799787081168;	5444
2.957799787081168;	2.9665506740251946;	5333
2.9665506740251946;	2.9753015609692217;	4994
2.9753015609692217;	2.984052447913249;	4793
2.984052447913249;	2.992803334857276;	4463
2.992803334857276;	3.001554221801303;	4270
3.001554221801303;	3.0103051087453303;	3961
3.0103051087453303;	3.0190559956893575;	3772
3.0190559956893575;	3.0278068826333846;	3435
3.0278068826333846;	3.0365577695774117;	3164
3.0365577695774117;	3.045308656521439;	3030
3.045308656521439;	3.054059543465466;	2775
3.054059543465466;	3.062810430409493;	2538
3.062810430409493;	3.0715613173535203;	2357
3.0715613173535203;	3.0803122042975475;	2033
3.0803122042975475;	3.0890630912415746;	1843
3.0890630912415746;	3.097813978185602;	1614
3.097813978185602;	3.106564865129629;	1356
3.106564865129629;	3.115315752073656;	1054
3.115315752073656;	3.124066639017683;	876
3.124066639017683;	3.13281752596171;	602
3.13281752596171;	3.141568412905737;	385
3.141568412905737;	3.150319299849764;	128
