# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=49248
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	0.21959224070636013;	0.22794383514822408;
-2212;	0.938;	-1;	1.17445710994144;	0.7813766808839371;
-2212;	0.938;	-1;	1.1108692304843986;	0.7640527498428493;
-2212;	0.938;	-1;	1.0381705420791905;	0.7419968412371112;
-2212;	0.938;	-1;	3.1553228777210744;	0.9585420787166872;
-2212;	0.938;	-1;	1.744042137332123;	0.8807027858835627;
-2212;	0.938;	-1;	2.4915405787255405;	0.9358748996760041;
-2212;	0.938;	-1;	1.4198071076114531;	0.8343587909841648;
-2212;	0.938;	-1;	1.281841928791924;	0.8070102589127843;
-2212;	0.938;	-1;	1.1424389997117614;	0.7728695901170186;
-2212;	0.938;	-1;	0.3341977771479758;	0.33562179494251604;
-2212;	0.938;	-1;	0.5373134278091699;	0.4970545987158302;
-2212;	0.938;	-1;	1.7143117108333858;	0.877266468756152;
-2212;	0.938;	-1;	1.0635679593472154;	0.7499925748173256;
-2212;	0.938;	-1;	2.08141046193777;	0.9116975767831743;
-2212;	0.938;	-1;	2.1348046723061103;	0.9155226499377388;
-2212;	0.938;	-1;	2.0101317994903343;	0.906193765365997;
-2212;	0.938;	-1;	0.6161476139467311;	0.5490208132380439;
-2212;	0.938;	-1;	1.5892924705078673;	0.8611939659927434;
-2212;	0.938;	-1;	0.6763917742821021;	0.584892164840313;
-2212;	0.938;	-1;	2.3676522941352687;	0.929698494302988;
-2212;	0.938;	-1;	0.9702693210140162;	0.718961348668452;
-2212;	0.938;	-1;	1.4722901301365026;	0.8433790523988013;
-2212;	0.938;	-1;	0.9550410582634654;	0.713443213692579;
-2212;	0.938;	-1;	1.058154135419316;	0.748315115872772;
-2212;	0.938;	-1;	2.490814424075989;	0.9358410269133625;
-2212;	0.938;	-1;	0.9444558906672138;	0.7095276344267;
-2212;	0.938;	-1;	2.010882921020518;	0.9062542863012772;
-2212;	0.938;	-1;	2.010637884566239;	0.9062345488332382;
-2212;	0.938;	-1;	1.2724415103854478;	0.8049315007984457;
-2212;	0.938;	-1;	0.9057503422494523;	0.694632286344797;
-2212;	0.938;	-1;	1.5129040415693917;	0.8499028189582104;
-2212;	0.938;	-1;	1.8088909885203142;	0.8877431951355461;
